,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.6761965473303045,0.009898458655819379,68.31331733984295,0.0,0.6567956900155255,0.6955974046450836
C(block)[T.2],0.6928610374814198,0.013345887926180746,51.915694280800025,0.0,0.6667032611651402,0.7190188137976994
C(block)[T.3],1.2540047948937003,0.013345814516971017,93.96240246701036,0.0,1.2278471624585696,1.280162427328831
C(block)[T.4],1.8116919822665525,0.0133458122346079,135.7498479986505,0.0,1.7855343543048254,1.8378496102282795
C(block)[T.5],2.3846293423592284,0.013345844361199968,178.67954082335925,0.0,2.3584716514297757,2.410787033288681
C(block)[T.6],3.0249916794459404,0.013345855479359394,226.6615043242729,0.0,2.998833966725032,3.051149392166849
C(block)[T.7],3.7694434136059165,0.01334587959759146,282.4424861652574,0.0,3.7432856536135697,3.7956011735982633
C(block)[T.8],4.73201975500357,0.013345815331148049,354.56955139783935,0.0,4.705862120972663,4.758177389034477
C(block)[T.9],6.11449831497826,0.013345864221722629,458.15679025311,0.0,6.088340585122427,6.140656044834093
C(block)[T.10],9.545782826082796,0.013345817039585843,715.2640260066856,0.0,9.51962518870337,9.571940463462221
treat,-0.00044893547460444355,0.005968731768231493,-0.07521455009821308,0.9400441583131265,-0.012147576385486962,0.011249705436278075
