,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.09758995671225894,0.003359708413107082,29.047150738300846,1.6717412287510486e-185,0.09100504922401284,0.10417486420050504
C(block)[T.2],0.002714039105420154,0.0045244314527069255,0.5998630178818091,0.5485975308754354,-0.006153683592405657,0.011581761803245966
C(block)[T.3],-0.002306846229399399,0.00483638700049784,-0.47697717927906536,0.633378372054544,-0.011785990565672866,0.007172298106874067
C(block)[T.4],0.0023736282221031363,0.005016115204289192,0.4732004998755787,0.6360701411757299,-0.007457776920607457,0.012205033364813728
C(block)[T.5],0.0071966045027010515,0.005809592582011951,1.2387451273233272,0.21543990081110986,-0.0041899877228934335,0.018583196728295538
C(block)[T.6],0.00774071602558323,0.006154073178955459,1.2578199511915902,0.20845687860218198,-0.004321045763393389,0.01980247781455985
C(block)[T.7],0.003879892736041138,0.007203786129886116,0.5385907724196242,0.5901692560611985,-0.010239268630864828,0.017999054102947106
C(block)[T.8],0.007887556428987412,0.008017747767433796,0.983762105990015,0.32523249523452513,-0.007826940432309252,0.023602053290284076
C(block)[T.9],0.010077078699965374,0.009582101738843876,1.051656408438554,0.2929572175417403,-0.00870349560436725,0.028857653004297996
C(block)[T.10],0.01280922134071025,0.013801023637431867,0.9281355990122647,0.3533372355843165,-0.014240287938442182,0.039858730619862684
treat,0.012269592580268015,0.00199759501685641,6.14218221247694,8.139540831049595e-10,0.00835437829153277,0.01618480686900326
baseline_activity,0.0029675405301264465,0.002427654247970979,1.2223901046068244,0.22156013951949083,-0.0017905743628123414,0.007725655423065234
pre_metric,-0.0019672063291032073,0.0019382804784839002,-1.0149234597058587,0.31014231436920536,-0.005766166258868714,0.0018317536006623
