,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.10090327743112985,0.0035676860129305304,28.28255543380819,5.664522570703769e-176,0.09391074133763871,0.10789581352462099
C(block)[T.2],0.003380952634286196,0.004829743270520419,0.7000274020614534,0.48391019180732886,-0.006085170230508516,0.012847075499080908
C(block)[T.3],1.0228975998539296e-05,0.005157493395233732,0.0019833231406544013,0.9984175381244431,-0.010098272329162777,0.010118730281159857
C(block)[T.4],0.004041579202696395,0.005398390186815629,0.7486637799111031,0.4540598796786225,-0.0065390711379566925,0.014622229543349484
C(block)[T.5],0.00973675911055719,0.006256656888314433,1.5562239202764256,0.11965485521475437,-0.002526063054163542,0.021999581275277923
C(block)[T.6],0.011628920555580796,0.006714161289913331,1.7319989874313708,0.08327374272599523,-0.0015305937590423258,0.024788434870203917
C(block)[T.7],0.005407442489509681,0.007800962356969089,0.6931763341581663,0.48819889798748717,-0.009882162774902425,0.02069704775392179
C(block)[T.8],0.00964347519548995,0.008769620779121617,1.0996456333036397,0.2714865510986302,-0.007544665689662507,0.026831616080642405
C(block)[T.9],0.011711881556541338,0.010579541609343764,1.1070310972828445,0.2682804835980237,-0.009023638970715363,0.03244740208379804
C(block)[T.10],0.01580613917197885,0.015176503557919576,1.0414875278522708,0.2976493386850413,-0.013939261212787508,0.04555153955674521
treat,0.014146303642076957,0.002193373793174528,6.449563538188644,1.1217272574077165e-10,0.009847370002820877,0.018445237281333036
baseline_activity,0.003779353123443998,0.0026597010175792523,1.4209691609938195,0.15532572500305689,-0.0014335650806558695,0.008992271327543867
pre_metric,-0.0027060517560634012,0.002086747074465019,-1.296779944812983,0.19470691307473165,-0.006796000866859161,0.0013838973547323583
