,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.6694447090317389,0.00959005153274055,69.80616389247197,0.0,0.6506483258879154,0.6882410921755624
C(block)[T.2],0.6948271721495194,0.012942496021389274,53.6857164955833,0.0,0.6694600390090029,0.7201943052900359
C(block)[T.3],1.2557569295347495,0.012942197025076187,97.02811100013811,0.0,1.230390382423332,1.281123476646167
C(block)[T.4],1.8139170124424757,0.012942208208442907,140.155140701504,0.0,1.788550443411797,1.8392835814731545
C(block)[T.5],2.3768088857413847,0.012942247505461761,183.64730582832286,0.0,2.3514422396890318,2.4021755317937377
C(block)[T.6],3.032190769246794,0.012942224517492678,234.28667654068997,0.0,3.0068241682505783,3.05755737024301
C(block)[T.7],3.775041833943066,0.01294216757809922,291.68543917876667,0.0,3.7496753445473616,3.8004083233387704
C(block)[T.8],4.747736765724528,0.012942222770097518,366.8409090202018,0.0,4.722370168153185,4.773103363295871
C(block)[T.9],6.116474810894158,0.012942209722852354,472.5989565826738,0.0,6.091108238895256,6.141841382893061
C(block)[T.10],9.475858211401256,0.012942182385728175,732.1684959292984,0.0,9.45049169298278,9.501224729819732
treat,-0.006450941635256841,0.0057882653896907145,-1.1144861544784033,0.2650733597641537,-0.017795870662105157,0.004893987391591474
