,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.09266016138441104,0.0033910609901201807,27.324828911769917,2.1509201549748923e-164,0.08601380397439674,0.09930651879442533
C(block)[T.2],0.0028269516879525286,0.004390871918143892,0.643824675520833,0.5196891308234735,-0.005778999132337803,0.01143290250824286
C(block)[T.3],0.008299303370797817,0.004764035891447089,1.7420740649115642,0.0814954850861584,-0.001038035397494648,0.017636642139090282
C(block)[T.4],0.003299096119664812,0.005095357696319324,0.6474709561701513,0.5173271858495019,-0.0066876214534700405,0.013285813692799665
C(block)[T.5],0.004222104859048623,0.005450242247065302,0.7746637062457227,0.43853840237987773,-0.006460173652218024,0.01490438337031527
C(block)[T.6],0.008147355797075897,0.006099168322566528,1.3358142235444148,0.18161000275988326,-0.0038067944508020715,0.020101506044953865
C(block)[T.7],0.0030146422519202573,0.007036898257427539,0.42840497924469245,0.6683563001606885,-0.010777424895510385,0.0168067093993509
C(block)[T.8],0.00824695567941876,0.007954067200740572,1.0368224797812768,0.29981859695410407,-0.007342729564644086,0.023836640923481603
C(block)[T.9],0.008130789263247166,0.009790181789266838,0.8305044214971682,0.40625364901327443,-0.011057614445815742,0.027319192972310075
C(block)[T.10],0.002087286460789932,0.014006374039387114,0.14902404112015752,0.8815346627128262,-0.02536470221040561,0.02953927513198547
treat,0.018385934759158194,0.0018984759372128344,9.684576137504651,3.5066002052350193e-22,0.014664990296705115,0.022106879221611274
baseline_activity,0.0009584799480063559,0.0023538333904379568,0.4071995715159857,0.6838614162823835,-0.0036549487228598465,0.005571908618872558
pre_metric,0.001031246869830483,0.001970780232009372,0.5232683244336394,0.6007875405997722,-0.0028314114063513777,0.004893905146012343
