,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.0029548667569201294,0.003008256398091841,-0.9822522969765553,0.32597556913773085,-0.008850940953442327,0.002941207439602067
C(block)[T.2],-0.00024971280712788793,0.004349646732813477,-0.05740990532497026,0.9542186727092662,-0.008774863748914619,0.008275438134658843
C(block)[T.3],0.0035711226525836325,0.0047122682657513085,0.7578351764347746,0.44854966099826077,-0.005664753433779953,0.012806998738947218
C(block)[T.4],-0.002655543181704503,0.005033938223330988,-0.5275279639699896,0.5978270025189296,-0.012521880799832786,0.007210794436423781
C(block)[T.5],-0.003454915446312914,0.005412498048267197,-0.6383217906968115,0.523264230035021,-0.014063216687309955,0.007153385794684127
C(block)[T.6],3.296427061615396e-05,0.006049060278098322,0.005449486217802599,0.9956519606030665,-0.0118229760147684,0.01188890455600071
C(block)[T.7],-0.007237247494334385,0.007025057045191392,-1.0302048008689462,0.30291387655108004,-0.02100610629224888,0.006531611303580114
C(block)[T.8],-0.0028972059708834573,0.007954679659930988,-0.3642140343472477,0.7156981877814951,-0.01848809161290152,0.012693679671134604
C(block)[T.9],-0.003228713902257211,0.009767902321429385,-0.3305432216673454,0.7409895398999095,-0.022373450656763993,0.01591602285224957
C(block)[T.10],-0.01041976986697048,0.014010154869469453,-0.7437298134139086,0.4570399491000581,-0.03787916882895907,0.017039629095018112
received,0.007138166937627943,0.0020970935588013884,3.4038380918530993,0.000664461262042449,0.0030279390901662914,0.011248394785089594
baseline_activity,-0.0003756833790396515,0.0023370141753850577,-0.16075357308337768,0.8722874928672448,-0.004956146994153938,0.0042047802360746355
pre_metric,0.0010583763472487276,0.001957965047438781,0.5405491526180165,0.588818373181009,-0.0027791646287195415,0.004895917323216997
days_active,0.022881912501462723,0.0005722077293605747,39.988821065092196,0.0,0.021760405960240554,0.024003419042684892
retained_any,0.003641423301182011,0.0026758210408170434,1.360862047810988,0.17355728910727952,-0.0016030895678938763,0.008885936170257899
