,coef,std_err,t_stat,p_value
Intercept,0.09251435843593869,0.003395143252243826,27.249029440744987,0.0
baseline_activity,0.0009409378607192487,0.002349296864109348,0.4005189276392158,0.6887743453527375
pre_metric,0.0010409643175692818,0.0019675049425832794,0.5290783748693025,0.5967510821549029
C(block)[T.2],0.0029346709196919063,0.004387338706457445,0.6688954548625459,0.5035621697645076
C(block)[T.3],0.008429940154121268,0.004763046495306876,1.769863082887697,0.0767499520146595
C(block)[T.4],0.0035063726559882227,0.00509998275724415,0.6875263746740474,0.4917510862624963
C(block)[T.5],0.004408843233446591,0.005461614525555522,0.8072417437768826,0.4195272200460367
C(block)[T.6],0.008416882913219847,0.006109032603563358,1.3777767216875445,0.16827223524046175
C(block)[T.7],0.0031900655677320477,0.0070412102195923885,0.4530564303925467,0.6505081077596608
C(block)[T.8],0.008317638881279565,0.007952768887914251,1.0458796173392897,0.2956166160412885
C(block)[T.9],0.008334255146157155,0.009791006715295496,0.8512153436824217,0.39464974095147576
C(block)[T.10],0.002507828940050416,0.01400484684630992,0.17906864441799974,0.8578838021601005
received,0.02627791442221522,0.0027107436440657637,9.69398728638233,0.0
