,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.09797027279473879,0.0036986284824779268,26.48827078979903,1.3230583859161725e-154,0.09072109417688802,0.10521945141258955
C(block)[T.2],0.0037479795513810188,0.004785598862474304,0.7831787951912034,0.4335221251967646,-0.005631621863524467,0.013127580966286505
C(block)[T.3],0.0105374976729967,0.005206123451050566,2.024058355909769,0.042964147768963276,0.0003336832098682161,0.020741312136125185
C(block)[T.4],0.004588848132844008,0.005464379767559942,0.8397747462733739,0.4010346954453642,-0.00612113940942283,0.015298835675110846
C(block)[T.5],0.005721683562832743,0.00581769649711148,0.9834964002803501,0.3253631861008087,-0.00568079204449059,0.017124159170156077
C(block)[T.6],0.01197098941626607,0.0065273083348730354,1.8339855882568663,0.06665613346904334,-0.0008222998360731901,0.02476427866860533
C(block)[T.7],0.006342308546189711,0.007497614679056479,0.845910175126237,0.3976028557740915,-0.008352746194719825,0.021037363287099247
C(block)[T.8],0.012026183020970953,0.008385858138158769,1.4341028458670622,0.15154291590859428,-0.004409796909282344,0.02846216295122425
C(block)[T.9],0.01222052656448684,0.010194266019771216,1.1987647311523755,0.23061944003342405,-0.007759867683085229,0.03220092081205891
C(block)[T.10],0.00839103991702499,0.014695889280042144,0.5709787109256805,0.5680140739812329,-0.020412373792645877,0.03719445362669586
treat,0.02008506316448154,0.002045755680192064,9.81791880572751,9.426959898866111e-23,0.016075455710136854,0.024094670618826225
baseline_activity,-0.0005982850609418575,0.002531367245496684,-0.2363485827693354,0.8131621909751838,-0.005559673693759719,0.004363103571876003
pre_metric,0.00207874893869333,0.002144001292551806,0.9695651518097678,0.33226329022730616,-0.0021234163775155335,0.006280914254902193
