,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.006657165789059572,0.0033603152634368067,-1.9811134572685503,0.04757855146924951,-0.013243262682095937,-7.106889602320667e-05
C(block)[T.2],9.980788956041832e-05,0.004739288694301531,0.021059677094671662,0.9831980507719289,-0.00918902726360844,0.009388643042729277
C(block)[T.3],0.0052194206847154655,0.005152351530032902,1.0130171930800178,0.31105194871621034,-0.004879002749838865,0.015317844119269796
C(block)[T.4],-0.0022370149995867778,0.005392562278082538,-0.41483341020999853,0.6782638597126768,-0.01280624284901782,0.008332212849844263
C(block)[T.5],-0.0030706118573264603,0.005786532354440958,-0.5306480063089727,0.5956627222233695,-0.0144120068674065,0.00827078315275358
C(block)[T.6],0.002655067862479426,0.006475612494317988,0.4100103063315029,0.6817983872138142,-0.010036899404221415,0.015347035129180269
C(block)[T.7],-0.0052734279098936125,0.007478804561955815,-0.7051164215092867,0.4807377879204593,-0.019931615498740864,0.00938475967895364
C(block)[T.8],-0.0006709948185532081,0.00840641907634491,-0.07981933953796591,0.9363809426724089,-0.017147273447139698,0.01580528381003328
C(block)[T.9],-0.0007911918432171616,0.010180058984089009,-0.07771977003804793,0.938050967456538,-0.02074374081252503,0.019161357126090704
C(block)[T.10],-0.006063453906960302,0.0147277679578046,-0.411702161816525,0.6805577402699629,-0.03492934867692034,0.022802440862999738
treat,0.014638686433414167,0.002029572636642312,7.212694026872644,5.485558423973277e-13,0.010660797161587238,0.018616575705241098
baseline_activity,-0.0020368985477777096,0.0025168432265139937,-0.809306883448183,0.41833864783478303,-0.006969820626478723,0.0028960235309233033
pre_metric,0.0020900937994911026,0.0021328765728272974,0.9799412802966452,0.32711510464950666,-0.0020902674667196224,0.006270455065701827
days_active,0.025617524404857133,0.0006295496518065563,40.69182522990055,0.0,0.02438362976083655,0.026851419048877716
retained_any,-0.003085152152544941,0.002953628640457553,-1.0445294680197215,0.2962404928074638,-0.00887415791154775,0.0027038536064578674
